1,Formación complementaria,0,0
2,Operario,3,3
3,Auxiliar,3,3
4,Técnico 12m,6,6
5,Técnico 15m,9,6
6,Tecnólogo 24m,18,6
7,Tecnólogo 27m,21,6
8,Esp. Tecnológica 6m,6,0
