1,Aguadas,6
2,Anserma,3
3,Aranzazu,6
4,Belalcazar,3
5,Chinchina,4
6,Filadelfia,1
7,La Dorada,2
8,La Merced,1
9,La Victoria,5
10,Manizales,4
11,Manzanares,2
12,Marmato,1
13,Marquetalia,2
14,Marulanda,2
15,Neira,4
16,Norcasia,5
17,Palestina,2
18,Pensilvania,2
19,Pacora,6
20,Risaralda,3
21,Riosucio,1
22,Salamina,6
23,Samana,5
24,San Jose,3
25,Supia,1
26,Villamaria,4
27,Viterbo,3
